Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu123,Zotu123,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella,uncultured beta proteobacterium,Zotu123,0.001955,4
Zotu12411,Zotu12411,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu12411,0.000106,5
Zotu12413,Zotu12413,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu12413,0.000225,5
Zotu12783,Zotu12783,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu12783,0.000246,5
Zotu128,Zotu128,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu128,0.001988,13
Zotu1289,Zotu1289,,other,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA,Zotu1289,0.00023,22
Zotu1299,Zotu1299,,other,2,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,uncultured,uncultured bacterium,Zotu1299,0.000137,6
Zotu1223,Zotu1223,,diff,2,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,uncultured bacterium,Zotu1223,0.000121,6
Zotu1312,Zotu1312,,other,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA,Zotu1312,0.000119,4
Zotu1052,Zotu1052,,other,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Meganema,uncultured bacterium,Zotu1052,0.000381,4
Zotu13236,Zotu13236,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu13236,0.000691,5
Zotu1,Zotu1,,diff,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu1,0.065611,11
Zotu132,Zotu132,,other,1,Bacteria,Chlorobi,Chlorobia,Chlorobiales,SJA-28,uncultured bacterium,NA,Zotu132,0.000203,11
Zotu133,Zotu133,,other,1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,uncultured bacterium,NA,Zotu133,0.0002,11
Zotu1331,Zotu1331,,other,4,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,uncultured bacterium,Zotu1331,0.000222,4
Zotu135,Zotu135,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,uncultured,uncultured soil bacterium,Zotu135,0.000535,13
Zotu1351,Zotu1351,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Byssovorax,uncultured bacterium,Zotu1351,0.000139,13
Zotu1114,Zotu1114,,other,3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia Incertae Sedis,Prolixibacteraceae,Prolixibacter,uncultured bacterium,Zotu1114,0.000112,13
Zotu13577,Zotu13577,,other,2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,NA,NA,Zotu13577,0.000193,5
