SampleID	Experiment	Timepoint	Variety	Compartment	Treatment	Sample
E1_MRS_Def5_3	Exp1	day5	MH63	Rhizosphere	Defoliation	E1_MRS_Def5
E1_MRS_Int7_1	Exp1	day7	MH63	Rhizosphere	Intact	E1_MRS_Int7
E1_MRS_Int7_2	Exp1	day7	MH63	Rhizosphere	Intact	E1_MRS_Int7
E1_MRS_Int7_3	Exp1	day7	MH63	Rhizosphere	Intact	E1_MRS_Int7
E1_MRS_Def7_1	Exp1	day7	MH63	Rhizosphere	Defoliation	E1_MRS_Def7
E1_MRS_Def7_2	Exp1	day7	MH63	Rhizosphere	Defoliation	E1_MRS_Def7
E1_MRS_Def7_3	Exp1	day7	MH63	Rhizosphere	Defoliation	E1_MRS_Def7
E1_NRS_Int1_1	Exp1	day1	NIP	Rhizosphere	Intact	E1_NRS_Int1
E1_NRS_Int1_2	Exp1	day1	NIP	Rhizosphere	Intact	E1_NRS_Int1
E1_NRS_Int1_3	Exp1	day1	NIP	Rhizosphere	Intact	E1_NRS_Int1
E1_NRS_Def1_1	Exp1	day1	NIP	Rhizosphere	Defoliation	E1_NRS_Def1
E1_NRS_Def1_2	Exp1	day1	NIP	Rhizosphere	Defoliation	E1_NRS_Def1
E1_NRS_Def1_3	Exp1	day1	NIP	Rhizosphere	Defoliation	E1_NRS_Def1
E1_NRS_Int3_1	Exp1	day3	NIP	Rhizosphere	Intact	E1_NRS_Int3
E1_NRS_Int3_2	Exp1	day3	NIP	Rhizosphere	Intact	E1_NRS_Int3
E1_NRS_Int3_3	Exp1	day3	NIP	Rhizosphere	Intact	E1_NRS_Int3
E1_NRS_Def3_1	Exp1	day3	NIP	Rhizosphere	Defoliation	E1_NRS_Def3
E1_NRS_Def3_2	Exp1	day3	NIP	Rhizosphere	Defoliation	E1_NRS_Def3
E1_NRS_Def3_3	Exp1	day3	NIP	Rhizosphere	Defoliation	E1_NRS_Def3
E1_NRS_Int5_1	Exp1	day5	NIP	Rhizosphere	Intact	E1_NRS_Int5
E1_NRS_Int5_2	Exp1	day5	NIP	Rhizosphere	Intact	E1_NRS_Int5
E1_NRS_Int5_3	Exp1	day5	NIP	Rhizosphere	Intact	E1_NRS_Int5
E1_NRS_Def5_1	Exp1	day5	NIP	Rhizosphere	Defoliation	E1_NRS_Def5
E1_NRS_Def5_2	Exp1	day5	NIP	Rhizosphere	Defoliation	E1_NRS_Def5
E1_NRS_Def5_3	Exp1	day5	NIP	Rhizosphere	Defoliation	E1_NRS_Def5
E1_NRS_Int7_1	Exp1	day7	NIP	Rhizosphere	Intact	E1_NRS_Int7
E1_NRS_Int7_2	Exp1	day7	NIP	Rhizosphere	Intact	E1_NRS_Int7
E1_NRS_Int7_3	Exp1	day7	NIP	Rhizosphere	Intact	E1_NRS_Int7
E1_NRS_Def7_1	Exp1	day7	NIP	Rhizosphere	Defoliation	E1_NRS_Def7
E1_NRS_Def7_2	Exp1	day7	NIP	Rhizosphere	Defoliation	E1_NRS_Def7
E1_NRS_Def7_3	Exp1	day7	NIP	Rhizosphere	Defoliation	E1_NRS_Def7
E2_unplanted_soil_1	Exp2	bulk soil	bulk soil	BS	Bulk soil	E2_bs
E2_unplanted_soil_2	Exp2	bulk soil	bulk soil	BS	Bulk soil	E2_bs
E2_unplanted_soil_3	Exp2	bulk soil	bulk soil	BS	Bulk soil	E2_bs
E2_unplanted_soil_4	Exp2	bulk soil	bulk soil	BS	Bulk soil	E2_bs
E2_MRE_Int1_1	Exp2	day1	MH63	Root	Intact	E2_MRE_Int1
E2_MRE_Int1_2	Exp2	day1	MH63	Root	Intact	E2_MRE_Int1
E2_MRE_Int1_3	Exp2	day1	MH63	Root	Intact	E2_MRE_Int1
E2_MRE_Def1_1	Exp2	day1	MH63	Root	Defoliation	E2_MRE_Def1
E2_MRE_Def1_2	Exp2	day1	MH63	Root	Defoliation	E2_MRE_Def1
E2_MRE_Def1_3	Exp2	day1	MH63	Root	Defoliation	E2_MRE_Def1
E2_MRE_Int2_1	Exp2	day2	MH63	Root	Intact	E2_MRE_Int2
E2_MRE_Int2_2	Exp2	day2	MH63	Root	Intact	E2_MRE_Int2
E2_MRE_Int2_3	Exp2	day2	MH63	Root	Intact	E2_MRE_Int2
E2_MRE_Def2_1	Exp2	day2	MH63	Root	Defoliation	E2_MRE_Def2
E2_MRE_Def2_2	Exp2	day2	MH63	Root	Defoliation	E2_MRE_Def2
E2_MRE_Def2_3	Exp2	day2	MH63	Root	Defoliation	E2_MRE_Def2
E2_MRE_Int3_1	Exp2	day3	MH63	Root	Intact	E2_MRE_Int3
E2_MRE_Int3_2	Exp2	day3	MH63	Root	Intact	E2_MRE_Int3
E2_MRE_Int3_3	Exp2	day3	MH63	Root	Intact	E2_MRE_Int3
E2_MRE_Def3_1	Exp2	day3	MH63	Root	Defoliation	E2_MRE_Def3
E2_MRE_Def3_2	Exp2	day3	MH63	Root	Defoliation	E2_MRE_Def3
E2_MRE_Def3_3	Exp2	day3	MH63	Root	Defoliation	E2_MRE_Def3
E2_MRE_Int4_1	Exp2	day4	MH63	Root	Intact	E2_MRE_Int4
E2_MRE_Int4_2	Exp2	day4	MH63	Root	Intact	E2_MRE_Int4
E2_MRE_Int4_3	Exp2	day4	MH63	Root	Intact	E2_MRE_Int4
E2_MRE_Def4_1	Exp2	day4	MH63	Root	Defoliation	E2_MRE_Def4
E2_MRE_Def4_2	Exp2	day4	MH63	Root	Defoliation	E2_MRE_Def4
