"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"75","E1_NRS_Def1_3",55755,860,54895,"98.4575%","E1_NRS_Def1_3","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
"76","E1_NRS_Def3_1",21584,164,21420,"99.2402%","E1_NRS_Def3_1","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"77","E1_NRS_Def3_2",56284,423,55861,"99.2485%","E1_NRS_Def3_2","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"78","E1_NRS_Def3_3",42625,296,42329,"99.3056%","E1_NRS_Def3_3","Exp1","day3","NIP","Rhizosphere","Defoliation","E1_NRS_Def3","Exp1_day3"
"79","E1_NRS_Def5_1",30354,187,30167,"99.3839%","E1_NRS_Def5_1","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"80","E1_NRS_Def5_2",42881,281,42600,"99.3447%","E1_NRS_Def5_2","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"81","E1_NRS_Def5_3",23537,179,23358,"99.2395%","E1_NRS_Def5_3","Exp1","day5","NIP","Rhizosphere","Defoliation","E1_NRS_Def5","Exp1_day5"
"82","E1_NRS_Def7_1",19540,113,19427,"99.4217%","E1_NRS_Def7_1","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"83","E1_NRS_Def7_2",39258,223,39035,"99.432%","E1_NRS_Def7_2","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"84","E1_NRS_Def7_3",36628,199,36429,"99.4567%","E1_NRS_Def7_3","Exp1","day7","NIP","Rhizosphere","Defoliation","E1_NRS_Def7","Exp1_day7"
"85","E1_NRS_Int1_1",71480,1058,70422,"98.5199%","E1_NRS_Int1_1","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"86","E1_NRS_Int1_2",86407,947,85460,"98.904%","E1_NRS_Int1_2","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"87","E1_NRS_Int1_3",82205,1084,81121,"98.6813%","E1_NRS_Int1_3","Exp1","day1","NIP","Rhizosphere","Intact","E1_NRS_Int1","Exp1_day1"
"88","E1_NRS_Int3_1",41114,372,40742,"99.0952%","E1_NRS_Int3_1","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"89","E1_NRS_Int3_2",69007,527,68480,"99.2363%","E1_NRS_Int3_2","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"90","E1_NRS_Int3_3",60004,527,59477,"99.1217%","E1_NRS_Int3_3","Exp1","day3","NIP","Rhizosphere","Intact","E1_NRS_Int3","Exp1_day3"
"91","E1_NRS_Int5_1",21450,150,21300,"99.3007%","E1_NRS_Int5_1","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"92","E1_NRS_Int5_2",17064,125,16939,"99.2675%","E1_NRS_Int5_2","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"93","E1_NRS_Int5_3",34934,222,34712,"99.3645%","E1_NRS_Int5_3","Exp1","day5","NIP","Rhizosphere","Intact","E1_NRS_Int5","Exp1_day5"
"94","E1_NRS_Int7_1",25200,153,25047,"99.3929%","E1_NRS_Int7_1","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"95","E1_NRS_Int7_2",20003,133,19870,"99.3351%","E1_NRS_Int7_2","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"96","E1_NRS_Int7_3",17783,121,17662,"99.3196%","E1_NRS_Int7_3","Exp1","day7","NIP","Rhizosphere","Intact","E1_NRS_Int7","Exp1_day7"
"97","E1_unplanted_soil_1",216842,2305,214537,"98.937%","E1_unplanted_soil_1","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"98","E1_unplanted_soil_3",142194,902,141292,"99.3657%","E1_unplanted_soil_3","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"99","E1_unplanted_soil_4",133678,1279,132399,"99.0432%","E1_unplanted_soil_4","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"100","E1_unplanted_soil_6",164631,1786,162845,"98.9151%","E1_unplanted_soil_6","Exp1","bulk soil","bulk soil","BS","Bulk soil","E1_bs","Exp1_bulk soil"
"101","E2_MRE_Def2_1",96961,1434,95527,"98.5211%","E2_MRE_Def2_1","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"102","E2_MRE_Def2_2",59078,1285,57793,"97.8249%","E2_MRE_Def2_2","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"103","E2_MRE_Def2_3",94720,1507,93213,"98.409%","E2_MRE_Def2_3","Exp2","day2","MH63","Root","Defoliation","E2_MRE_Def2","Exp2_day2"
"104","E2_MRE_Def3_1",57129,406,56723,"99.2893%","E2_MRE_Def3_1","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"105","E2_MRE_Def3_2",95092,736,94356,"99.226%","E2_MRE_Def3_2","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"106","E2_MRE_Def3_3",56664,852,55812,"98.4964%","E2_MRE_Def3_3","Exp2","day3","MH63","Root","Defoliation","E2_MRE_Def3","Exp2_day3"
"107","E2_MRE_Def4_1",97730,528,97202,"99.4597%","E2_MRE_Def4_1","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"108","E2_MRE_Def4_2",96427,808,95619,"99.1621%","E2_MRE_Def4_2","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"109","E2_MRE_Def4_3",78543,450,78093,"99.4271%","E2_MRE_Def4_3","Exp2","day4","MH63","Root","Defoliation","E2_MRE_Def4","Exp2_day4"
"110","E2_MRE_Def5_1",28936,188,28748,"99.3503%","E2_MRE_Def5_1","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"111","E2_MRE_Def5_2",45971,247,45724,"99.4627%","E2_MRE_Def5_2","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"112","E2_MRE_Def5_3",71354,455,70899,"99.3623%","E2_MRE_Def5_3","Exp2","day5","MH63","Root","Defoliation","E2_MRE_Def5","Exp2_day5"
"113","E2_MRE_Int2_1",73429,970,72459,"98.679%","E2_MRE_Int2_1","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"114","E2_MRE_Int2_2",72425,1139,71286,"98.4273%","E2_MRE_Int2_2","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"115","E2_MRE_Int2_3",86896,1395,85501,"98.3946%","E2_MRE_Int2_3","Exp2","day2","MH63","Root","Intact","E2_MRE_Int2","Exp2_day2"
"116","E2_MRE_Int3_1",101617,2584,99033,"97.4571%","E2_MRE_Int3_1","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"117","E2_MRE_Int3_2",15129,145,14984,"99.0416%","E2_MRE_Int3_2","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"118","E2_MRE_Int3_3",98089,1159,96930,"98.8184%","E2_MRE_Int3_3","Exp2","day3","MH63","Root","Intact","E2_MRE_Int3","Exp2_day3"
"119","E2_MRE_Int4_1",74871,444,74427,"99.407%","E2_MRE_Int4_1","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"120","E2_MRE_Int4_2",98360,679,97681,"99.3097%","E2_MRE_Int4_2","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"121","E2_MRE_Int4_3",87569,811,86758,"99.0739%","E2_MRE_Int4_3","Exp2","day4","MH63","Root","Intact","E2_MRE_Int4","Exp2_day4"
"122","E2_MRE_Int5_1",100149,856,99293,"99.1453%","E2_MRE_Int5_1","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"123","E2_MRE_Int5_2",108678,687,107991,"99.3679%","E2_MRE_Int5_2","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"124","E2_MRE_Int5_3",98583,825,97758,"99.1631%","E2_MRE_Int5_3","Exp2","day5","MH63","Root","Intact","E2_MRE_Int5","Exp2_day5"
"125","E2_MRS_Def2_1",45387,415,44972,"99.0856%","E2_MRS_Def2_1","Exp2","day2","MH63","Rhizosphere","Defoliation","E2_MRS_Def2","Exp2_day2"
